predator,pred_stage,BB,PB,PL,PS,MA,SG,ZS,ZM,ZL,ZG,SQX,BMD,BD,BG,BMS,DUN,BML,PWN,BFF,BIV,GEC,BC,HEP,HEC,FPS,POP,CHY,CHS,CSY,CSS,CSN,CDS,CNY,CNS,CHC,CYE,CKS,COH,COS,COD,COY,CMS,CMF,CMH,PIS,SAL,SAF,FMM,FVS,ROC,MRO,DVR,MVR,SMD,FDF,HAP,DOG,SBL,SSK,RAT,SB,SP,BE,HSL,CSL,PIN,PHR,ROR,TOR,HUW,DL,DR,DC,DL_s,DR_s,DC_s
Sixgill Shark,adult,0,0,0,0,0,0,0,0,0,0,0.00459770114942528,0,0,0,0.1739463601532567,0.10574712643678162,0,0.10574712643678162,0,0,0,0,0.00459770114942528,0.00459770114942528,0,0,0.00459770114942528,0.00459770114942528,0.00459770114942528,0.00459770114942528,0.00459770114942528,0.00459770114942528,0.00459770114942528,0.00459770114942528,0.00459770114942528,0.00459770114942528,0.00459770114942528,0,0,0,0,0,0,0,0,0,0.00459770114942528,0.02758620689655172,0.02758620689655172,0.02758620689655172,0.02758620689655172,0.02758620689655172,0.02758620689655172,0.02758620689655172,0.06896551724137932,0,0.12337164750957856,0,0,0.1555555555555556,0,0,0,0.00459770114942528,0,0,0,0,0,0,0,0,0,0,0,0
Skates,adult,0,0,0,0,0,0,0,0,0,0,0,0,0.3797753316160325,1.7579190486182067e-10,0,0,0.00789644522201465,0.214048736977008,0,1.7579190486182067e-10,0,0,0.03788524852998275,0.03788524852998275,0.1692415136970343,0.06942006475190304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7579190486182067e-10,0,0,0,0,0,0.08384740997287439,1.7579190486182067e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Small Planktivorous Fish,adult,0,0,1.1663124027242432e-10,0,0,0,0,1.1663124027242432e-10,0.07117241871447176,1.1663124027242432e-10,0,0,0.00607087468627159,1.1663124027242432e-10,1.1663124027242432e-10,0,0.11730701866163191,0.03001169451373082,1.1663124027242432e-10,1.1663124027242432e-10,0,1.1663124027242432e-10,0.33292745935390283,0.32534868148468266,0.11048988638374674,0,1.1663124027242432e-10,1.1663124027242432e-10,1.1663124027242432e-10,1.1663124027242432e-10,1.1663124027242432e-10,1.1663124027242432e-10,1.1663124027242432e-10,1.1663124027242432e-10,1.1663124027242432e-10,1.1663124027242432e-10,1.1663124027242432e-10,1.1663124027242432e-10,1.1663124027242432e-10,1.1663124027242432e-10,1.1663124027242432e-10,1.1663124027242432e-10,1.1663124027242432e-10,1.1663124027242432e-10,0,1.1663124027242432e-10,1.1663124027242432e-10,0.00667196235273071,0,0,0,0,0,1.1663124027242432e-10,1.1663124027242432e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.831562013621216e-11,5.831562013621216e-11,5.831562013621216e-11,5.831562013621216e-11,5.831562013621216e-11,5.831562013621216e-11
Small demersal fish,adult,0,0,1.2659603323011812e-10,0,1.2659603323011812e-10,1.2659603323011812e-10,1.2659603323011812e-10,1.2659603323011812e-10,1.2659603323011812e-10,1.2659603323011812e-10,0.00368843572920149,1.2659603323011812e-10,1.2659603323011812e-10,1.2659603323011812e-10,0.0184027063136348,1.2659603323011812e-10,1.2659603323011812e-10,1.2659603323011812e-10,1.2659603323011812e-10,1.2659603323011812e-10,0,1.2659603323011812e-10,0.06916943275870664,0.06916943275870664,0.13865364582333603,0.09861044611094252,1.2659603323011812e-10,1.2659603323011812e-10,1.2659603323011812e-10,1.2659603323011812e-10,1.2659603323011812e-10,1.2659603323011812e-10,1.2659603323011812e-10,1.2659603323011812e-10,1.2659603323011812e-10,1.2659603323011812e-10,1.2659603323011812e-10,1.2659603323011812e-10,1.2659603323011812e-10,1.2659603323011812e-10,1.2659603323011812e-10,1.8355597663263204e-4,1.8355597663263204e-4,1.8355597663263204e-4,0,1.2659603323011812e-10,1.2659603323011812e-10,0.2753899878210831,1.2659603323011812e-10,0.00195355935650254,1.2659603323011812e-10,1.2659603323011812e-10,1.2659603323011812e-10,0.2322437106678465,0.0837372912563725,0,0,0,0.00843067840992807,0,0,0,0,0,0,0,0,0,0,0,6.329801661505906e-11,6.329801661505906e-11,6.329801661505906e-11,6.329801661505906e-11,6.329801661505906e-11,6.329801661505906e-11
Small-mouthed Flatfish,adult,0,0,0,0,1.3386714460647027e-10,1.3386714460647027e-10,0,1.3386714460647027e-10,0.0020140947223347,1.3386714460647027e-10,1.3386714460647027e-10,1.3386714460647027e-10,1.3386714460647027e-10,1.3386714460647027e-10,1.3386714460647027e-10,0,0.00568991000671497,0.2366992921764395,1.3386714460647027e-10,1.3386714460647027e-10,0,1.3386714460647027e-10,0.12977235876005427,0.12977235876005427,0.16039373530756815,1.3386714460647027e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07114877675931046,0,0,0,0,0,0.2619385672102631,0.00257090415538619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.693357230323512e-11,6.693357230323512e-11,6.693357230323512e-11,6.693357230323512e-11,6.693357230323512e-11,6.693357230323512e-11
Spiny dogfish,adult,0,0,0,0.03952616336422585,0.00635896326463363,0.03689186422606552,0,0.01454146382459124,0.03712021522687327,0.02106312985278013,0.05264977542829999,4.031096609587838e-4,0.015133177093977,0.01214469129776623,0.03864013168627583,0.00573109307391445,0.03841362138877127,0.01897926783393986,0.04009774770575251,0,0,0.01748248350587618,0.04720085576279118,0.04720085576279118,0.03597197044482057,0.01732570972877745,0.00122683712363164,0.00122683712363164,0.00122683712363164,0.00122683712363164,0.00122683712363164,0.00122683712363164,0.00122683712363164,0.00122683712363164,0.00122683712363164,0.00122683712363164,0.00122683712363164,0.02206977245358645,0.02206977245358645,0.02206977245358645,0.02206977245358645,0.00122683712363164,0.00122683712363164,0.00122683712363164,0,0.00122683712363164,0.00122683712363164,0.09740976688245884,0.00732137875881744,0.00996684257081599,0.01310636973111277,0.01310636973111277,0.01310636973111277,0.04588568349647196,0.07465045145708762,0.00655280543104964,0.02806982794606672,0,0,0.04003936033755923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steller sea lions,adult,0,0,0,0,0,0,0,0,0,0,0.0148178746498828,0,0,0,0.01042377141241796,0,0,0,0,0,0,0,0.11076580834263693,0.11076580834263693,0.11377427308614188,0,0.00681662226776387,0.00681662226776387,0.00681662226776387,0.00681662226776387,0.00681662226776387,0.00681662226776387,0.00681662226776387,0.00681662226776387,0.00681662226776387,0.00681662226776387,0.00681662226776387,0.0024401369775177,0.0024401369775177,0.0024401369775177,0.0024401369775177,0.01433580474291654,0.01433580474291654,0.01433580474291654,0,0.0024401369775177,0.00681662226776387,0.07331742396662842,0.00906070852689608,0.0515742911839838,0.04878648120911971,0.04878648120911971,0.04878648120911971,0.04297861821233718,0.03685145030058653,0.01049120020019868,0.04700132296203925,0,0.08481043885674988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strait of Georgia salmonids,adult,0,0,0,0,0,0,0,1.1644293726430002e-10,0.0187317019120916,1.1644293726430002e-10,1.1644293726430002e-10,0,0.08582515975752256,1.1644293726430002e-10,1.1644293726430002e-10,0,0.23476823494264132,0.44735796078607143,1.1644293726430002e-10,0,0,0.00884216879510504,0.0967425568462736,0.0967425568462736,1.1644293726430002e-10,0.00733760316409403,1.1644293726430002e-10,1.1644293726430002e-10,1.1644293726430002e-10,1.1644293726430002e-10,1.1644293726430002e-10,1.1644293726430002e-10,1.1644293726430002e-10,1.1644293726430002e-10,1.1644293726430002e-10,1.1644293726430002e-10,1.1644293726430002e-10,1.1644293726430002e-10,1.1644293726430002e-10,1.1644293726430002e-10,1.1644293726430002e-10,1.1644293726430002e-10,1.1644293726430002e-10,1.1644293726430002e-10,0,1.1644293726430002e-10,1.1644293726430002e-10,1.1644293726430002e-10,0,1.1644293726430002e-10,1.1644293726430002e-10,1.1644293726430002e-10,1.1644293726430002e-10,1.1644293726430002e-10,0.00365205310730996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Transient Orca,adult,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0.125,0.125,0,0.125,0.125,0.125,0.125,0,0,0,0,0,0,0,0,0
California sea lions,juvenile,0,0,0,0,0,0,0,0,0,0,1.1724368326782986e-9,0,0,0,1.1724368326782986e-9,0,0,0,0,0,0,0,0.10245627275183011,0.10245627275183011,0.00599057929311807,0,1.1724368326782986e-9,1.1724368326782986e-9,1.1724368326782986e-9,1.1724368326782986e-9,1.1724368326782986e-9,1.1724368326782986e-9,1.1724368326782986e-9,1.1724368326782986e-9,1.1724368326782986e-9,1.1724368326782986e-9,1.1724368326782986e-9,1.1724368326782986e-9,1.1724368326782986e-9,1.1724368326782986e-9,1.1724368326782986e-9,1.1724368326782986e-9,1.1724368326782986e-9,1.1724368326782986e-9,1.1724368326782986e-9,1.1724368326782986e-9,1.1724368326782986e-9,0.01350481952388098,0,1.1724368326782986e-9,1.1724368326782986e-9,1.1724368326782986e-9,1.1724368326782986e-9,0.4203133850991477,0.3552786354070881,1.1724368326782986e-9,1.1724368326782986e-9,0,1.1724368326782986e-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
