predator,pred_stage,BB,PB,PL,PS,MA,SG,ZS,ZM,ZL,ZG,SQX,BMD,BD,BG,BMS,DUN,BML,PWN,BFF,BIV,GEC,BC,HEP,HEC,FPS,POP,CHY,CHS,CSY,CSS,CSN,CDS,CNY,CNS,CHC,CYE,CKS,COH,COS,COD,COY,CMS,CMF,CMH,PIS,SAL,SAF,FMM,FVS,ROC,MRO,DVR,MVR,SMD,FDF,HAP,DOG,SBL,SSK,RAT,SB,SP,BE,HSL,CSL,PIN,PHR,ROR,TOR,HUW,DL,DR,DC,DL_s,DR_s,DC_s
Chinook Duwamish Subyearling,juvenile,0,0,0,0,1.1779006195032456e-10,0,1.1779006195032456e-10,0.00603315702247674,0.11631006573310494,1.1779006195032456e-10,1.1779006195032456e-10,1.1779006195032456e-10,0.2955562895494632,1.1779006195032456e-10,1.1779006195032456e-10,1.1779006195032456e-10,0.34645282583131104,0.01254765626558452,8.679546012303597e-4,1.1779006195032456e-10,0,0.00717049059075089,0.05762355554768662,0.0537772209531741,0.10366078025372562,1.1779006195032456e-10,1.1779006195032456e-10,1.1779006195032456e-10,1.1779006195032456e-10,1.1779006195032456e-10,1.1779006195032456e-10,1.1779006195032456e-10,1.1779006195032456e-10,1.1779006195032456e-10,1.1779006195032456e-10,1.1779006195032456e-10,1.1779006195032456e-10,0,0,0,0,0,0,0,1.1779006195032456e-10,0,1.1779006195032456e-10,1.1779006195032456e-10,1.1779006195032456e-10,1.1779006195032456e-10,1.1779006195032456e-10,1.1779006195032456e-10,1.1779006195032456e-10,1.1779006195032456e-10,1.1779006195032456e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chinook Hatch Subyearling,juvenile,0,0,0,0,1.1868966241470202e-10,0,1.1868966241470202e-10,0.00639514089724854,0.1147944883184016,1.1868966241470202e-10,1.1868966241470202e-10,1.1868966241470202e-10,0.2964451415167685,1.1868966241470202e-10,1.1868966241470202e-10,1.1868966241470202e-10,0.34909879712839903,0.01018266699623261,0.00114237269622681,1.1868966241470202e-10,0,0.00583240743722648,0.05819750321864991,0.05393894983640402,0.10397252827506288,1.1868966241470202e-10,1.1868966241470202e-10,1.1868966241470202e-10,1.1868966241470202e-10,1.1868966241470202e-10,1.1868966241470202e-10,1.1868966241470202e-10,1.1868966241470202e-10,1.1868966241470202e-10,1.1868966241470202e-10,1.1868966241470202e-10,1.1868966241470202e-10,0,0,0,0,0,0,0,1.1868966241470202e-10,0,1.1868966241470202e-10,1.1868966241470202e-10,1.1868966241470202e-10,1.1868966241470202e-10,1.1868966241470202e-10,1.1868966241470202e-10,1.1868966241470202e-10,1.1868966241470202e-10,1.1868966241470202e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chinook Hatch Yearling,juvenile,0,0,0,0,1.1871081913645534e-10,0,1.1871081913645534e-10,0.00603845884265332,0.11507964149801832,1.1871081913645534e-10,1.1871081913645534e-10,1.1871081913645534e-10,0.2958160186255364,1.1871081913645534e-10,1.1871081913645534e-10,1.1871081913645534e-10,0.35158143079077864,0.01103928454766749,0.00185736456023115,1.1871081913645534e-10,0,0.00660584404200081,0.05610232442749777,0.0528420168083751,0.1030376121772055,1.1871081913645534e-10,1.1871081913645534e-10,1.1871081913645534e-10,1.1871081913645534e-10,1.1871081913645534e-10,1.1871081913645534e-10,1.1871081913645534e-10,1.1871081913645534e-10,1.1871081913645534e-10,1.1871081913645534e-10,1.1871081913645534e-10,1.1871081913645534e-10,0,0,0,0,0,0,0,1.1871081913645534e-10,0,1.1871081913645534e-10,1.1871081913645534e-10,1.1871081913645534e-10,1.1871081913645534e-10,1.1871081913645534e-10,1.1871081913645534e-10,1.1871081913645534e-10,1.1871081913645534e-10,1.1871081913645534e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chinook Hood Canal Subyearling,juvenile,0,0,0,0,1.186041060854958e-10,0,1.186041060854958e-10,0.00559156872512501,0.11847007362441454,1.186041060854958e-10,1.186041060854958e-10,1.186041060854958e-10,0.2955500998988365,1.186041060854958e-10,1.186041060854958e-10,1.186041060854958e-10,0.3448537076657159,0.0095399651400669,0.00199300473594595,1.186041060854958e-10,0,0.00707195413931185,0.05882899995408859,0.05515563415345059,0.1029449882863168,1.186041060854958e-10,1.186041060854958e-10,1.186041060854958e-10,1.186041060854958e-10,1.186041060854958e-10,1.186041060854958e-10,1.186041060854958e-10,1.186041060854958e-10,1.186041060854958e-10,1.186041060854958e-10,1.186041060854958e-10,1.186041060854958e-10,0,0,0,0,0,0,0,1.186041060854958e-10,0,1.186041060854958e-10,1.186041060854958e-10,1.186041060854958e-10,1.186041060854958e-10,1.186041060854958e-10,1.186041060854958e-10,1.186041060854958e-10,1.186041060854958e-10,1.186041060854958e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chinook Nisqually Subyearling,juvenile,0,0,0,0,1.1823987495018631e-10,0,1.1823987495018631e-10,0.00581030489097401,0.11515220894921088,1.1823987495018631e-10,1.1823987495018631e-10,1.1823987495018631e-10,0.2960025556551451,1.1823987495018631e-10,1.1823987495018631e-10,1.1823987495018631e-10,0.34617787399193845,0.01300824525105408,0.00156015098501454,1.1823987495018631e-10,0,0.00745083644349601,0.05718143905660823,0.05311941347756614,0.10453696763355642,1.1823987495018631e-10,1.1823987495018631e-10,1.1823987495018631e-10,1.1823987495018631e-10,1.1823987495018631e-10,1.1823987495018631e-10,1.1823987495018631e-10,1.1823987495018631e-10,1.1823987495018631e-10,1.1823987495018631e-10,1.1823987495018631e-10,1.1823987495018631e-10,0,0,0,0,0,0,0,1.1823987495018631e-10,0,1.1823987495018631e-10,1.1823987495018631e-10,1.1823987495018631e-10,1.1823987495018631e-10,1.1823987495018631e-10,1.1823987495018631e-10,1.1823987495018631e-10,1.1823987495018631e-10,1.1823987495018631e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chinook Nisqually Yearling,juvenile,0,0,0,0,1.18771630155187e-10,0,1.18771630155187e-10,0.00552263473935356,0.11225877369074078,1.18771630155187e-10,1.18771630155187e-10,1.18771630155187e-10,0.2993948915644908,1.18771630155187e-10,1.18771630155187e-10,1.18771630155187e-10,0.34454649455852426,0.01042706136578787,0.00200042088431323,1.18771630155187e-10,0,0.00639955741709337,0.0585065229606261,0.05447566438345302,0.10646797475369646,1.18771630155187e-10,1.18771630155187e-10,1.18771630155187e-10,1.18771630155187e-10,1.18771630155187e-10,1.18771630155187e-10,1.18771630155187e-10,1.18771630155187e-10,1.18771630155187e-10,1.18771630155187e-10,1.18771630155187e-10,1.18771630155187e-10,0,0,0,0,0,0,0,1.18771630155187e-10,0,1.18771630155187e-10,1.18771630155187e-10,1.18771630155187e-10,1.18771630155187e-10,1.18771630155187e-10,1.18771630155187e-10,1.18771630155187e-10,1.18771630155187e-10,1.18771630155187e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chinook Skagit Subyearling,juvenile,0,0,0,0,1.1880492675945839e-10,0,1.1880492675945839e-10,0.00604324581162902,0.11543638182501498,1.1880492675945839e-10,1.1880492675945839e-10,1.1880492675945839e-10,0.2987900032541383,1.1880492675945839e-10,1.1880492675945839e-10,1.1880492675945839e-10,0.3462339755792341,0.00885685730616511,0.00155681479115293,1.1880492675945839e-10,0,0.00748644294777188,0.05719070588079303,0.05264091395642679,0.10576465496472114,1.1880492675945839e-10,1.1880492675945839e-10,1.1880492675945839e-10,1.1880492675945839e-10,1.1880492675945839e-10,1.1880492675945839e-10,1.1880492675945839e-10,1.1880492675945839e-10,1.1880492675945839e-10,1.1880492675945839e-10,1.1880492675945839e-10,1.1880492675945839e-10,0,0,0,0,0,0,0,1.1880492675945839e-10,0,1.1880492675945839e-10,1.1880492675945839e-10,1.1880492675945839e-10,1.1880492675945839e-10,1.1880492675945839e-10,1.1880492675945839e-10,1.1880492675945839e-10,1.1880492675945839e-10,1.1880492675945839e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chinook Skagit Yearling,juvenile,0,0,0,0,1.1047122599431425e-10,0,1.1047122599431425e-10,0.11188154289494684,0.21516642709146608,0.20034234604421228,1.1047122599431425e-10,1.1047122599431425e-10,0.25106044685173545,1.1047122599431425e-10,1.1047122599431425e-10,1.1047122599431425e-10,0.06482537585013262,0.01058523575423599,0.14613862175724904,1.1047122599431425e-10,0,1.1047122599431425e-10,1.1047122599431425e-10,1.1047122599431425e-10,1.1047122599431425e-10,1.1047122599431425e-10,1.1047122599431425e-10,1.1047122599431425e-10,1.1047122599431425e-10,1.1047122599431425e-10,1.1047122599431425e-10,1.1047122599431425e-10,1.1047122599431425e-10,1.1047122599431425e-10,1.1047122599431425e-10,1.1047122599431425e-10,1.1047122599431425e-10,0,0,0,0,0,0,0,1.1047122599431425e-10,0,1.1047122599431425e-10,1.1047122599431425e-10,1.1047122599431425e-10,1.1047122599431425e-10,1.1047122599431425e-10,1.1047122599431425e-10,1.1047122599431425e-10,1.1047122599431425e-10,1.1047122599431425e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chinook Snohomish Subyearling,juvenile,0,0,0,0,1.1077681468928871e-10,0,1.1077681468928871e-10,0.11039712165787968,0.2132916848815055,0.20182388768080128,1.1077681468928871e-10,1.1077681468928871e-10,0.2552573969953926,1.1077681468928871e-10,1.1077681468928871e-10,1.1077681468928871e-10,0.06500469767650843,0.0106880974309086,0.14353710991059215,1.1077681468928871e-10,0,1.1077681468928871e-10,1.1077681468928871e-10,1.1077681468928871e-10,1.1077681468928871e-10,1.1077681468928871e-10,1.1077681468928871e-10,1.1077681468928871e-10,1.1077681468928871e-10,1.1077681468928871e-10,1.1077681468928871e-10,1.1077681468928871e-10,1.1077681468928871e-10,1.1077681468928871e-10,1.1077681468928871e-10,1.1077681468928871e-10,1.1077681468928871e-10,0,0,0,0,0,0,0,1.1077681468928871e-10,0,1.1077681468928871e-10,1.1077681468928871e-10,1.1077681468928871e-10,1.1077681468928871e-10,1.1077681468928871e-10,1.1077681468928871e-10,1.1077681468928871e-10,1.1077681468928871e-10,1.1077681468928871e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chinook other Subyearling,juvenile,0,0,0,0,1.1050004678473635e-10,0,1.1050004678473635e-10,0.11451761655660736,0.21671449795792525,0.2022489471479237,1.1050004678473635e-10,1.1050004678473635e-10,0.25054833962838813,1.1050004678473635e-10,1.1050004678473635e-10,1.1050004678473635e-10,0.06410000284415257,0.00934998188047637,0.14252061022752502,1.1050004678473635e-10,0,1.1050004678473635e-10,1.1050004678473635e-10,1.1050004678473635e-10,1.1050004678473635e-10,1.1050004678473635e-10,1.1050004678473635e-10,1.1050004678473635e-10,1.1050004678473635e-10,1.1050004678473635e-10,1.1050004678473635e-10,1.1050004678473635e-10,1.1050004678473635e-10,1.1050004678473635e-10,1.1050004678473635e-10,1.1050004678473635e-10,1.1050004678473635e-10,0,0,0,0,0,0,0,1.1050004678473635e-10,0,1.1050004678473635e-10,1.1050004678473635e-10,1.1050004678473635e-10,1.1050004678473635e-10,1.1050004678473635e-10,1.1050004678473635e-10,1.1050004678473635e-10,1.1050004678473635e-10,1.1050004678473635e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chinook other Yearling,juvenile,0,0,0,0,1.1682797748564522e-10,0,1.1682797748564522e-10,0.00157018194272476,0.14489757198640557,1.1682797748564522e-10,1.1682797748564522e-10,1.1682797748564522e-10,0.26006114659836715,1.1682797748564522e-10,1.1682797748564522e-10,1.1682797748564522e-10,0.5889732220670185,1.1682797748564522e-10,1.1682797748564522e-10,1.1682797748564522e-10,0,1.1682797748564522e-10,0.00226965071599946,0.00222822260050521,1.1682797748564522e-10,1.1682797748564522e-10,1.1682797748564522e-10,1.1682797748564522e-10,1.1682797748564522e-10,1.1682797748564522e-10,1.1682797748564522e-10,1.1682797748564522e-10,1.1682797748564522e-10,1.1682797748564522e-10,1.1682797748564522e-10,1.1682797748564522e-10,1.1682797748564522e-10,0,0,0,0,0,0,0,1.1682797748564522e-10,0,1.1682797748564522e-10,1.1682797748564522e-10,1.1682797748564522e-10,1.1682797748564522e-10,1.1682797748564522e-10,1.1682797748564522e-10,1.1682797748564522e-10,1.1682797748564522e-10,1.1682797748564522e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chum Fall Subyearling,juvenile,0,0,1.0686878993507148e-10,1.0686878993507148e-10,1.0686878993507148e-10,0,1.0686878993507148e-10,0.7217831942997085,1.0686878993507148e-10,1.0686878993507148e-10,1.0686878993507148e-10,0,1.0686878993507148e-10,1.0686878993507148e-10,1.0686878993507148e-10,0,0.27821680078432715,1.0686878993507148e-10,1.0686878993507148e-10,1.0686878993507148e-10,0,1.0686878993507148e-10,1.0686878993507148e-10,1.0686878993507148e-10,1.0686878993507148e-10,0,1.0686878993507148e-10,1.0686878993507148e-10,1.0686878993507148e-10,1.0686878993507148e-10,1.0686878993507148e-10,1.0686878993507148e-10,1.0686878993507148e-10,1.0686878993507148e-10,1.0686878993507148e-10,1.0686878993507148e-10,1.0686878993507148e-10,1.0686878993507148e-10,1.0686878993507148e-10,1.0686878993507148e-10,1.0686878993507148e-10,1.0686878993507148e-10,1.0686878993507148e-10,1.0686878993507148e-10,1.0686878993507148e-10,1.0686878993507148e-10,1.0686878993507148e-10,1.0686878993507148e-10,1.0686878993507148e-10,1.0686878993507148e-10,1.0686878993507148e-10,1.0686878993507148e-10,1.0686878993507148e-10,1.0686878993507148e-10,1.0686878993507148e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chum Hatch Subyearling,juvenile,0,0,1.0671762977226651e-10,1.0671762977226651e-10,1.0671762977226651e-10,0,1.0671762977226651e-10,0.7240893468089398,1.0671762977226651e-10,1.0671762977226651e-10,1.0671762977226651e-10,0,1.0671762977226651e-10,1.0671762977226651e-10,1.0671762977226651e-10,0,0.27591064828204925,1.0671762977226651e-10,1.0671762977226651e-10,1.0671762977226651e-10,0,1.0671762977226651e-10,1.0671762977226651e-10,1.0671762977226651e-10,1.0671762977226651e-10,0,1.0671762977226651e-10,1.0671762977226651e-10,1.0671762977226651e-10,1.0671762977226651e-10,1.0671762977226651e-10,1.0671762977226651e-10,1.0671762977226651e-10,1.0671762977226651e-10,1.0671762977226651e-10,1.0671762977226651e-10,1.0671762977226651e-10,1.0671762977226651e-10,1.0671762977226651e-10,1.0671762977226651e-10,1.0671762977226651e-10,1.0671762977226651e-10,1.0671762977226651e-10,1.0671762977226651e-10,1.0671762977226651e-10,1.0671762977226651e-10,1.0671762977226651e-10,1.0671762977226651e-10,1.0671762977226651e-10,1.0671762977226651e-10,1.0671762977226651e-10,1.0671762977226651e-10,1.0671762977226651e-10,1.0671762977226651e-10,1.0671762977226651e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chum Hood Canal summer run Subyearling,juvenile,0,0,1.11854757463739e-10,1.11854757463739e-10,1.11854757463739e-10,0,1.11854757463739e-10,0.10213184761634143,0.15565803297996308,1.11854757463739e-10,1.11854757463739e-10,0,0.2416475186500365,1.11854757463739e-10,1.11854757463739e-10,0,0.2323707065600059,0.01230578193860981,0.24332263428567424,1.11854757463739e-10,0,0.01256347338332395,1.11854757463739e-10,1.11854757463739e-10,1.11854757463739e-10,0,1.11854757463739e-10,1.11854757463739e-10,1.11854757463739e-10,1.11854757463739e-10,1.11854757463739e-10,1.11854757463739e-10,1.11854757463739e-10,1.11854757463739e-10,1.11854757463739e-10,1.11854757463739e-10,1.11854757463739e-10,1.11854757463739e-10,1.11854757463739e-10,1.11854757463739e-10,1.11854757463739e-10,1.11854757463739e-10,1.11854757463739e-10,1.11854757463739e-10,1.11854757463739e-10,1.11854757463739e-10,1.11854757463739e-10,1.11854757463739e-10,1.11854757463739e-10,1.11854757463739e-10,1.11854757463739e-10,1.11854757463739e-10,1.11854757463739e-10,1.11854757463739e-10,1.11854757463739e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coho Deep South Yearling,juvenile,0,0,0,0,1.168581492336359e-10,1.168581492336359e-10,0,6.109968015189495e-4,0.14729013137754102,1.168581492336359e-10,1.168581492336359e-10,0,0.2583374978337943,1.168581492336359e-10,1.168581492336359e-10,0,0.5904834800886478,1.168581492336359e-10,1.168581492336359e-10,1.168581492336359e-10,0,1.168581492336359e-10,0.00175010772654898,0.00152778219877187,1.168581492336359e-10,0,1.168581492336359e-10,1.168581492336359e-10,1.168581492336359e-10,1.168581492336359e-10,1.168581492336359e-10,1.168581492336359e-10,1.168581492336359e-10,1.168581492336359e-10,1.168581492336359e-10,1.168581492336359e-10,1.168581492336359e-10,0,0,0,0,1.168581492336359e-10,1.168581492336359e-10,1.168581492336359e-10,1.168581492336359e-10,0,1.168581492336359e-10,1.168581492336359e-10,0,1.168581492336359e-10,1.168581492336359e-10,1.168581492336359e-10,1.168581492336359e-10,1.168581492336359e-10,1.168581492336359e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coho Hatch Yearling,juvenile,0,0,0,0,1.1722513320120514e-10,1.1722513320120514e-10,0,8.211223065365909e-4,0.14775268462822386,1.1722513320120514e-10,1.1722513320120514e-10,0,0.25855272739966273,1.1722513320120514e-10,1.1722513320120514e-10,0,0.5909754315248039,1.1722513320120514e-10,1.1722513320120514e-10,1.1722513320120514e-10,0,1.1722513320120514e-10,0.00107501485899983,8.230152961185152e-4,1.1722513320120514e-10,0,1.1722513320120514e-10,1.1722513320120514e-10,1.1722513320120514e-10,1.1722513320120514e-10,1.1722513320120514e-10,1.1722513320120514e-10,1.1722513320120514e-10,1.1722513320120514e-10,1.1722513320120514e-10,1.1722513320120514e-10,1.1722513320120514e-10,0,0,0,0,1.1722513320120514e-10,1.1722513320120514e-10,1.1722513320120514e-10,1.1722513320120514e-10,0,1.1722513320120514e-10,1.1722513320120514e-10,0,1.1722513320120514e-10,1.1722513320120514e-10,1.1722513320120514e-10,1.1722513320120514e-10,1.1722513320120514e-10,1.1722513320120514e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coho Skagit Yearling,juvenile,0,0,0,0,1.0907037520527621e-10,1.0907037520527621e-10,0,0.7132830261483037,1.0907037520527621e-10,1.0907037520527621e-10,1.0907037520527621e-10,0,1.0907037520527621e-10,1.0907037520527621e-10,1.0907037520527621e-10,0,0.28460290197614035,0.00211406783995207,1.0907037520527621e-10,1.0907037520527621e-10,0,1.0907037520527621e-10,1.0907037520527621e-10,1.0907037520527621e-10,1.0907037520527621e-10,0,1.0907037520527621e-10,1.0907037520527621e-10,1.0907037520527621e-10,1.0907037520527621e-10,1.0907037520527621e-10,1.0907037520527621e-10,1.0907037520527621e-10,1.0907037520527621e-10,1.0907037520527621e-10,1.0907037520527621e-10,1.0907037520527621e-10,0,0,0,0,1.0907037520527621e-10,1.0907037520527621e-10,1.0907037520527621e-10,1.0907037520527621e-10,0,1.0907037520527621e-10,1.0907037520527621e-10,0,1.0907037520527621e-10,1.0907037520527621e-10,1.0907037520527621e-10,1.0907037520527621e-10,1.0907037520527621e-10,1.0907037520527621e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coho other Yearling,juvenile,0,0,0,0,1.0653168193139207e-10,1.0653168193139207e-10,0,0.7162003758887602,1.0653168193139207e-10,1.0653168193139207e-10,1.0653168193139207e-10,0,1.0653168193139207e-10,1.0653168193139207e-10,1.0653168193139207e-10,0,0.28379962006303594,1.0653168193139207e-10,1.0653168193139207e-10,1.0653168193139207e-10,0,1.0653168193139207e-10,1.0653168193139207e-10,1.0653168193139207e-10,1.0653168193139207e-10,0,1.0653168193139207e-10,1.0653168193139207e-10,1.0653168193139207e-10,1.0653168193139207e-10,1.0653168193139207e-10,1.0653168193139207e-10,1.0653168193139207e-10,1.0653168193139207e-10,1.0653168193139207e-10,1.0653168193139207e-10,1.0653168193139207e-10,0,0,0,0,1.0653168193139207e-10,1.0653168193139207e-10,1.0653168193139207e-10,1.0653168193139207e-10,0,1.0653168193139207e-10,1.0653168193139207e-10,0,1.0653168193139207e-10,1.0653168193139207e-10,1.0653168193139207e-10,1.0653168193139207e-10,1.0653168193139207e-10,1.0653168193139207e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Demersal rockfish,juvenile,0,0,1.0571934481643098e-10,1.0571934481643098e-10,0.1904047921789813,0,0.1882251239912147,0.08844209917773249,0.1839403575531924,0,1.0571934481643098e-10,0,0.15334603762908172,0,0,0,0.00707289159487069,1.0571934481643098e-10,0.05593038227751353,0.1326383148573778,0,1.0571934481643098e-10,0,0,0,1.0571934481643098e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0571934481643098e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Demersal vulnerable rockfish,juvenile,0,0,1.0616847804793503e-10,1.0616847804793503e-10,0,0,1.0616847804793503e-10,0.23255399817689348,0.30798581189998203,0,1.0616847804793503e-10,0,0.18643110825247705,0,0,0,0.1394797805507087,0.02503047353234732,0.10851882705674908,1.0616847804793503e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hake_Large gadoids,juvenile,0,0,0,0.12175994055587729,0,0,0,0.11428747984850596,0.0913225912940568,0.05326997399319631,0,0,0.07330305592121596,0,0.03531038276120441,0,0.09685565198207796,0.06866008887296862,0.12175994055587729,0.01739427722226818,0,0.00649792134942802,0.06087997027793864,0.06087997027793864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07781875508744596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harbor porpoise,juvenile,0,0,0,0,0,0,0,0,0,0,0.1176796514087725,0,0,1.6188262722310675e-10,0.02331640635062696,0,0.01712592497559156,0.03644790639259913,0,0,0,0,0.1411581120160588,0.1411581120160588,0.04127391267367427,1.6188262722310675e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4214370414031811,0,1.6188262722310675e-10,1.6188262722310675e-10,1.6188262722310675e-10,1.6188262722310675e-10,0.00747538694119741,0.0529275448509437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harbor seals,juvenile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04545454545454545,0,0,0,0,0,0,0,0,0.04545454545454545,0.04545454545454545,0.04545454545454545,0.04545454545454545,0.04545454545454545,0.04545454545454545,0.04545454545454545,0.04545454545454545,0.04545454545454545,0.04545454545454545,0.04545454545454545,0.04545454545454545,0.04545454545454545,0.04545454545454545,0.04545454545454545,0.04545454545454545,0.04545454545454545,0.04545454545454545,0.04545454545454545,0.04545454545454545,0.04545454545454545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Humpback whales,juvenile,0,0,0,0,0,0,0,1.817867514686245e-8,0.9999999091066242,0,1.817867514686245e-8,0,0,0,0,0,0,0,0,0,0,0,1.817867514686245e-8,1.817867514686245e-8,1.817867514686245e-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Large demersal predators,juvenile,0,0,0,0,0,0,0,0.4905509925286025,0.18057582766350624,0,1.1069770936899168e-10,0,0.13416904192811088,1.1069770936899168e-10,1.1069770936899168e-10,0,0.15334004936868045,0.04136408474737788,1.1069770936899168e-10,0,0,0,1.1069770936899168e-10,1.1069770936899168e-10,1.1069770936899168e-10,1.1069770936899168e-10,1.1069770936899168e-10,1.1069770936899168e-10,1.1069770936899168e-10,1.1069770936899168e-10,1.1069770936899168e-10,1.1069770936899168e-10,1.1069770936899168e-10,1.1069770936899168e-10,1.1069770936899168e-10,1.1069770936899168e-10,1.1069770936899168e-10,1.1069770936899168e-10,1.1069770936899168e-10,1.1069770936899168e-10,1.1069770936899168e-10,1.1069770936899168e-10,1.1069770936899168e-10,1.1069770936899168e-10,0,0,1.1069770936899168e-10,1.1069770936899168e-10,1.1069770936899168e-10,1.1069770936899168e-10,0,0,0,1.1069770936899168e-10,1.1069770936899168e-10,1.1069770936899168e-10,1.1069770936899168e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Midwater rockfish,juvenile,0,0,0.014622308577557,0.13978057346937262,0,0,0.05134796576425932,0.19550150235842848,0.06946260093115543,0,0,0,0.07109462588304438,0,0,0,0.1883894543032401,0.06430187536974546,0.1322345959608948,0.06404155297661317,0,0.00922294440568936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Midwater vulnerable rockfish,juvenile,0,0,0.01449710724670537,0.13858372320918652,0,0,0.05090830648500729,0.194517632968642,0.06886783779680707,0,0,0,0.05530847094287609,0,0,0,0.18862525246605885,0.09409610512506016,0.13110235700484218,0.06349320675481451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other salmonids,juvenile,0,0,0,0,0.04568522452100326,0,0,0.04960675294066998,0.06748115958206183,0.00705131833419246,0,0,0.06672346804565939,0.02848688478322162,0.00664398622240224,0,0.08137758500104622,0.03242796527169137,0.09169226759236904,0.08066407381971465,0,0.06167751537531427,0.05568874796392719,0.05568874796392719,0.03115464120212198,0.00483789156126998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0253667296080008,0.0253667296080008,0.0253667296080008,0,0,0,0.05703981448995905,4.088606906093678e-4,0.01986995294725897,0.01986995294725897,0.01986995294725897,0.01986995294725897,0.01842694099962313,0.00165615302617749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pacific Herring Cherry Point,juvenile,0,0,0,1.1861499937797802e-10,1.1861499937797802e-10,0,1.1861499937797802e-10,0.00611752508762861,0.11848095460657417,1.1861499937797802e-10,0,0,0.2976262047969039,0,0,0,0.3448853810404849,0.01144435027920681,0.00103164919215204,1.1861499937797802e-10,0,0.00795393808911936,0.05670618719589673,0.05279936434144029,0.10295444335413816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1861499937797802e-10,1.1861499937797802e-10,1.1861499937797802e-10,1.1861499937797802e-10,1.1861499937797802e-10,1.1861499937797802e-10,1.1861499937797802e-10,1.1861499937797802e-10,1.1861499937797802e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.930749968898901e-11,5.930749968898901e-11,5.930749968898901e-11,5.930749968898901e-11,5.930749968898901e-11,5.930749968898901e-11
